"Site","Year","QuadID","Species","Cover","Treatment","Seeding07","Seeding06","SEED","Growth Habit","Duration","US Nativity","Seeded"
"Bellfountain",2009,"BF-10-3","Triphysaria pusilla",0.50,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Veronica arvensis",0.10,"B","SD","NS","2007","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Vicia hirsuta",0.00,"B","SD","NS","2007","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Vicia sativa",4.00,"B","SD","NS","2007","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Agoseris grandiflora",1.20,"B","NS","NS","NS","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Agrostis",7.00,"B","NS","NS","NS","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Aira caryophyllea",0.50,"B","NS","NS","NS","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Bare Soil",15.00,"B","NS","NS","NS","Substrate",,,
"Bellfountain",2009,"BF-10-4","Brodiaea coronaria",0.50,"B","NS","NS","NS","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Bromus hordeaceus",0.10,"B","NS","NS","NS","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Cardamine oligosperma",0.00,"B","NS","NS","NS","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Cerastium glomeratum",1.30,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Cruciata pedemontana",0.10,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Cynosurus echinatus",0.20,"B","NS","NS","NS","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Danthonia californica",0.00,"B","NS","NS","NS","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-4","Daucus carota",0.00,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Daucus pusillus",0.00,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Elymus glaucus",0.00,"B","NS","NS","NS","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Epilobium brachycarpum",0.00,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Fragaria virginiana",1.50,"B","NS","NS","NS","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Galium divaricatum",7.00,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Holcus lanatus",0.00,"B","NS","NS","NS","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Hypericum perforatum",0.10,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Hypochaeris radicata",0.00,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Leucanthemum vulgare",0.10,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Lichen",1.00,"B","NS","NS","NS","Substrate",,,
"Bellfountain",2009,"BF-10-4","Linanthus bicolor",15.00,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Litter",60.00,"B","NS","NS","NS","Substrate",,,
"Bellfountain",2009,"BF-10-4","Lotus micranthus",0.30,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Luzula comosa",0.10,"B","NS","NS","NS","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Madia gracilis",0.10,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Microsteris gracilis",2.00,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Moss",20.00,"B","NS","NS","NS","Substrate",,,
"Bellfountain",2009,"BF-10-4","Myosotis discolor",0.20,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Poa pratensis",0.00,"B","NS","NS","NS","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Ranunculus occidentalis",0.20,"B","NS","NS","NS","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-4","Rubus ursinus",0.50,"B","NS","NS","NS","Shrub","Perennial","Native",
"Bellfountain",2009,"BF-10-4","Rumex acetosella",0.00,"B","NS","NS","NS","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-4","Sherardia arvensis",0.00,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Triphysaria pusilla",1.00,"B","NS","NS","NS","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-4","Veronica arvensis",0.30,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Vicia hirsuta",0.00,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-4","Vicia sativa",0.50,"B","NS","NS","NS","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Achillea millefolium",3.00,"C","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-1","Agoseris grandiflora",1.50,"C","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Agrostis",5.00,"C","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Annual Bromus",0.50,"C","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Bare Soil",0.00,"C","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-12-1","Brodiaea coronaria",0.10,"C","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Bromus hordeaceus",3.00,"C","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Bromus secalinus",0.00,"C","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Carex tumulicola",2.00,"C","SD","SD","Both","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Cerastium glomeratum",0.10,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Cruciata pedemontana",0.30,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Danthonia californica",2.00,"C","SD","SD","Both","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-1","Elymus glaucus",0.40,"C","SD","SD","Both","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Eriophyllum lanatum",0.10,"C","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-1","Fragaria virginiana",12.00,"C","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Galium divaricatum",0.30,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Holcus lanatus",0.00,"C","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Hypericum perforatum",0.00,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Hypochaeris radicata",1.40,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Leucanthemum vulgare",3.00,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Lichen",0.00,"C","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-12-1","Linanthus bicolor",4.00,"C","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-1","Litter",50.00,"C","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-12-1","Lomatium utriculatum",6.00,"C","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-1","Lotus micranthus",3.00,"C","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-1","Luzula comosa",0.40,"C","SD","SD","Both","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Madia gracilis",0.00,"C","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-1","Microsteris gracilis",0.30,"C","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-1","Moss",30.00,"C","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-12-1","Myosotis discolor",0.10,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Plantago lanceolata",3.00,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Plectritis congesta",0.00,"C","SD","SD","Both","Forb","Annual","Native","Yes"
"Bellfountain",2009,"BF-12-1","Poa pratensis",0.00,"C","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Ranunculus occidentalis",0.70,"C","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-1","Rock",0.00,"C","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-12-1","Rumex acetosella",1.00,"C","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-1","Sherardia arvensis",0.60,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Sidalcea virgata",0.00,"C","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-1","Trifolium dubium",0.70,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Triphysaria pusilla",3.00,"C","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-1","Veronica arvensis",0.10,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Vicia hirsuta",0.00,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-1","Vicia sativa",0.80,"C","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-2","Achillea millefolium",0.30,"C","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-2","Agoseris grandiflora",0.50,"C","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Agrostis",40.00,"C","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Bare Soil",0.00,"C","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-12-2","Bromus hordeaceus",0.00,"C","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-12-2","Cardamine oligosperma",0.30,"C","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Carex tumulicola",0.00,"C","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Cerastium glomeratum",0.20,"C","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-2","Cruciata pedemontana",1.80,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Cynosurus echinatus",0.10,"C","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-12-2","Danthonia californica",0.50,"C","NS","SD","2006","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-2","Elymus glaucus",0.00,"C","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Epilobium brachycarpum",0.00,"C","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-2","Eriophyllum lanatum",0.40,"C","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-2","Fragaria virginiana",14.00,"C","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Galium divaricatum",0.50,"C","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-12-2","Holcus lanatus",0.00,"C","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Hypericum perforatum",0.10,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Hypochaeris radicata",0.80,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Leucanthemum vulgare",1.00,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Lichen",0.00,"C","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-12-2","Linanthus bicolor",0.30,"C","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-2","Litter",90.00,"C","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-12-2","Lomatium utriculatum",1.20,"C","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-2","Lotus micranthus",2.00,"C","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-2","Luzula comosa",0.00,"C","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-12-2","Microsteris gracilis",0.10,"C","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-12-2","Moss",3.00,"C","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-12-2","Myosotis discolor",0.10,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Plectritis congesta",0.00,"C","NS","SD","2006","Forb","Annual","Native","Yes"
"Bellfountain",2009,"BF-12-2","Poa pratensis",0.00,"C","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Ranunculus occidentalis",2.00,"C","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-12-2","Rock",0.00,"C","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-12-2","Rumex acetosella",0.80,"C","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-12-2","Senecio jacobaea",0.50,"C","NS","SD","2006","Forb","Perennial","Exotic",
